GP	GS	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OFF	DEF	TRB	AST	STL	BLK	PF	TOV	PTS	YR	POS	W	H
680	642	35.8	7.02	15.56	0.451	1.03	3.02	0.342	3.43	4.31	0.795	1.51	4.35	5.87	2.29	1.32	0.81	2.49	2.43	18.51	9	3	104	203
90	3	5.8	0.88	1.78	0.494	0.0	0.03	0.0	0.31	0.53	0.583	0.36	1.06	1.41	0.28	0.2	0.44	1.4	0.47	2.07	4	5	113	213
47	3	5.5	0.74	1.74	0.427	0.0	0.0	0.0	0.7	1.19	0.589	0.6	1.0	1.6	0.02	0.09	0.47	0.94	0.32	2.19	3	5	104	213
111	5	9.4	1.44	3.73	0.386	0.41	1.4	0.29	0.66	0.83	0.793	0.79	1.6	2.4	0.18	0.19	0.2	1.07	0.53	3.95	3	5	105	213
607	371	29.8	4.18	10.03	0.417	1.35	3.84	0.351	3.19	3.99	0.799	0.85	3.12	3.97	5.6	1.32	0.26	2.72	2.1	12.89	9	1	89	185
292	40	11.6	1.19	2.37	0.501	0.01	0.02	0.286	0.63	1.08	0.582	1.0	1.62	2.62	0.35	0.31	0.49	1.86	0.79	3.01	6	5	107	211
490	30	19.4	2.89	6.82	0.423	1.15	3.07	0.374	0.77	1.04	0.734	0.32	1.58	1.9	2.87	0.76	0.11	1.41	1.38	7.69	8	1	82	188
601	548	32.7	4.57	9.74	0.469	0.25	0.91	0.273	1.53	2.52	0.606	1.12	3.67	4.79	8.47	1.82	0.13	2.26	2.88	10.91	9	1	84	185
225	18	12.4	2.17	4.26	0.509	0.0	0.01	0.5	1.65	2.1	0.786	1.22	1.84	3.06	0.31	0.16	0.29	1.89	0.89	5.99	7	4	113	208
67	18	8.7	1.06	2.42	0.438	0.25	0.75	0.34	0.34	0.51	0.676	0.12	0.9	1.01	0.52	0.25	0.09	0.79	0.37	2.72	3	3	98	201
68	0	11.6	0.96	2.6	0.367	0.25	0.78	0.321	0.54	0.63	0.86	0.62	1.19	1.81	0.96	0.37	0.13	1.13	0.59	2.71	2	3	104	198
287	219	26.9	2.85	6.44	0.442	0.71	2.01	0.352	1.25	1.68	0.745	1.63	3.86	5.49	1.44	1.09	0.24	2.13	1.07	7.66	4	3	111	198
403	49	16.9	3.03	5.48	0.553	0.0	0.07	0.037	1.58	2.39	0.661	1.35	2.54	3.89	0.8	0.45	0.23	2.37	1.02	7.64	6	4	113	201
7	0	5.4	0.43	1.43	0.3	0.0	0.0	0.0	0.57	0.86	0.667	0.86	1.0	1.86	0.14	0.0	0.29	0.86	0.14	1.43	1	5	109	218
30	0	5.7	0.63	1.73	0.365	0.2	0.53	0.375	0.23	0.37	0.636	0.37	0.67	1.03	0.2	0.1	0.03	0.73	0.5	1.7	1	4	118	208
486	67	11.8	1.32	2.27	0.581	0.0	0.0	0.0	1.06	1.62	0.651	0.86	1.31	2.17	0.29	0.18	0.52	2.01	0.75	3.7	9	5	104	213
22	0	5.2	0.41	1.64	0.25	0.0	0.14	0.0	0.18	0.41	0.444	0.59	0.82	1.41	0.05	0.18	0.55	0.68	0.18	1.0	2	5	111	216
665	283	22.4	3.51	7.11	0.494	0.02	0.08	0.204	1.91	2.3	0.828	1.55	3.17	4.72	0.8	0.38	0.65	1.87	1.0	8.94	1	4	113	203
179	21	14.9	1.66	4.29	0.388	0.92	2.6	0.353	0.53	0.62	0.847	0.22	1.14	1.36	2.41	0.42	0.05	1.12	0.55	4.77	5	1	79	185
564	191	22.1	4.13	8.83	0.467	0.09	0.39	0.237	1.77	2.45	0.725	1.85	3.51	5.36	1.41	0.87	0.81	2.45	1.62	10.12	9	4	118	211
6	0	1.6	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.5	0.67	0.0	0.33	0.0	0.17	0.0	0.0	2	5	109	218
5	0	1.2	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.2	0.0	0.0	0.0	0.2	0.6	0.0	1	5	116	216
20	0	3.6	0.7	1.3	0.538	0.05	0.1	0.5	0.45	0.65	0.692	0.35	0.35	0.7	0.05	0.05	0.1	0.55	0.45	1.9	1	4	108	211
87	18	13.2	1.31	2.9	0.452	0.0	0.05	0.0	1.22	1.77	0.688	1.46	2.1	3.56	0.4	0.51	0.17	1.87	0.47	3.84	2	4	109	203
614	335	22.6	3.21	5.61	0.572	0.09	0.27	0.329	1.11	1.63	0.682	2.13	3.58	5.71	1.07	0.62	1.09	3.16	1.14	7.62	1	4	113	206
23	0	9.2	1.0	2.48	0.404	0.0	0.0	0.0	0.13	0.26	0.5	0.7	1.17	1.87	0.74	0.3	0.35	1.78	0.61	2.13	1	5	118	208
16	0	5.8	1.06	2.5	0.425	0.25	0.81	0.308	0.44	0.5	0.875	0.44	0.75	1.19	0.19	0.19	0.06	0.5	0.19	2.81	2	3	88	201
30	0	7.8	1.13	3.07	0.37	0.27	0.83	0.32	0.17	0.33	0.5	0.3	0.67	0.97	0.53	0.2	0.13	0.43	0.37	2.7	2	2	84	196
281	12	11.0	1.07	2.3	0.467	0.0	0.03	0.111	0.84	1.17	0.717	0.91	1.41	2.33	0.35	0.21	0.55	1.97	0.57	2.99	8	5	104	208
1092	1021	36.2	6.54	14.85	0.441	1.6	4.34	0.369	2.39	2.99	0.8	0.91	3.19	4.1	4.19	0.9	0.21	1.84	2.04	17.08	1	2	109	201
1052	430	31.0	5.36	13.11	0.409	1.76	5.05	0.349	3.01	3.5	0.86	0.39	2.03	2.42	3.61	0.96	0.22	1.58	1.98	15.5	1	2	91	196
527	410	24.9	4.89	8.98	0.545	0.0	0.0	1.0	3.15	4.91	0.642	1.8	3.37	5.17	0.54	0.29	0.73	2.97	2.23	12.94	1	5	134	213
943	786	31.9	6.75	14.28	0.472	0.13	0.49	0.26	3.36	4.4	0.763	3.08	6.37	9.45	1.8	0.77	0.29	2.42	2.13	16.98	1	4	118	206
74	2	5.9	0.7	1.65	0.426	0.0	0.0	0.0	0.49	0.89	0.545	0.36	1.04	1.41	0.09	0.18	0.09	1.35	0.41	1.89	4	5	125	211
629	335	21.6	1.85	4.34	0.426	0.12	0.46	0.25	0.96	1.65	0.583	1.85	2.22	4.07	1.27	0.69	0.51	2.43	1.07	4.77	1	4	109	211
357	179	13.4	1.82	3.75	0.485	0.0	0.01	0.0	0.67	1.08	0.62	1.1	1.98	3.08	0.33	0.26	1.08	2.77	1.13	4.31	1	5	136	213
215	47	11.3	0.97	2.31	0.419	0.0	0.03	0.143	0.64	1.0	0.642	1.23	1.95	3.18	0.34	0.26	0.6	1.29	0.64	2.58	6	5	111	216
486	476	32.6	6.95	13.26	0.524	0.0	0.02	0.2	5.11	6.14	0.833	2.54	6.71	9.25	1.58	0.39	1.89	3.28	2.7	19.03	9	5	141	229
662	459	26.7	5.23	10.54	0.496	0.05	0.16	0.287	2.11	2.84	0.743	1.88	5.11	6.99	1.69	0.66	0.31	2.84	1.59	12.62	8	4	109	206
644	244	18.3	1.63	3.27	0.498	0.0	0.02	0.0	0.49	0.79	0.62	1.74	3.3	5.04	1.21	0.74	0.37	2.31	0.72	3.74	1	4	109	198
1196	996	30.8	3.49	6.73	0.518	0.0	0.0	0.0	2.84	4.15	0.684	3.18	7.15	10.33	1.04	0.41	2.75	2.83	1.82	9.81	1	5	118	218
607	280	22.1	2.5	5.09	0.492	0.0	0.01	0.111	1.64	2.88	0.57	1.79	3.7	5.49	0.91	0.53	0.62	2.28	1.27	6.65	1	5	132	211
735	476	20.4	1.25	3.04	0.411	0.01	0.05	0.206	1.06	1.64	0.647	1.24	2.44	3.68	0.85	0.5	0.49	2.8	0.82	3.57	1	5	116	213
456	37	14.2	1.46	3.57	0.408	0.53	1.43	0.372	1.18	1.37	0.861	0.63	1.68	2.3	1.02	0.65	0.15	1.95	0.72	4.62	1	4	111	203
287	14	18.5	1.66	4.22	0.393	0.73	2.07	0.352	1.14	1.48	0.769	0.41	1.39	1.8	1.06	0.42	0.08	1.3	0.73	5.18	4	2	97	198
82	30	25.8	3.76	9.34	0.402	1.9	5.27	0.361	1.51	1.78	0.849	0.41	2.15	2.56	2.16	0.59	0.01	1.15	1.63	10.93	1	2	77	191
618	188	18.4	2.26	4.57	0.495	0.0	0.01	0.0	1.11	1.96	0.564	1.7	2.47	4.17	0.43	0.37	0.79	1.94	0.79	5.63	1	4	118	201
427	115	23.2	3.27	7.88	0.415	0.92	2.58	0.356	0.86	1.08	0.798	0.57	2.54	3.11	1.07	0.73	0.13	2.0	0.88	8.32	7	3	100	198
921	783	32.1	6.48	14.43	0.449	0.58	1.66	0.346	3.52	4.13	0.852	0.86	2.23	3.1	3.39	0.78	0.14	2.53	2.15	17.06	1	2	88	201
810	533	25.3	2.72	5.5	0.496	0.0	0.0	0.0	1.72	2.43	0.71	1.9	3.77	5.67	0.57	0.49	2.43	2.82	1.24	7.17	1	5	107	208
744	269	27.4	5.28	12.22	0.432	1.57	3.93	0.401	2.76	3.22	0.857	0.45	2.04	2.49	2.51	0.68	0.15	2.31	2.08	14.9	1	2	91	191
824	542	22.3	2.72	6.69	0.406	0.67	1.96	0.34	1.1	1.57	0.698	0.5	1.73	2.22	1.64	0.51	0.16	1.38	0.99	7.2	1	2	99	196
816	549	22.9	2.59	4.9	0.528	0.0	0.0	0.0	1.62	2.75	0.587	2.55	3.42	5.97	0.54	0.39	1.36	2.5	1.04	6.79	1	5	119	213
873	732	32.4	5.25	12.1	0.434	0.85	2.44	0.349	2.84	3.36	0.847	1.26	3.75	5.01	2.29	1.33	0.25	2.42	1.82	14.19	1	3	103	201
409	75	17.3	2.18	4.24	0.513	0.0	0.0	0.0	1.37	2.27	0.603	1.66	3.06	4.71	0.36	0.31	1.04	2.17	0.94	5.72	1	5	116	206
495	79	18.6	2.93	5.87	0.499	0.01	0.04	0.158	1.04	1.23	0.844	1.12	2.29	3.41	1.19	0.65	0.21	2.42	0.98	6.9	8	4	112	203
518	103	17.7	2.31	5.66	0.408	1.15	2.99	0.383	0.58	0.68	0.866	0.15	1.58	1.73	1.31	0.36	0.14	1.37	0.71	6.35	1	2	93	196
450	93	14.3	1.5	3.07	0.487	0.0	0.01	0.333	1.04	1.45	0.714	1.25	2.17	3.42	0.53	0.33	0.37	2.59	0.76	4.03	9	5	111	211
548	131	23.6	4.32	10.25	0.422	1.3	3.47	0.375	2.18	2.61	0.834	0.38	1.64	2.02	1.04	0.56	0.2	1.92	1.13	12.13	8	2	95	201
189	33	14.2	1.98	3.74	0.53	0.0	0.0	0.0	1.06	2.03	0.525	0.97	1.93	2.9	0.25	0.34	0.98	2.85	1.14	5.02	4	5	115	213
487	92	22.7	3.71	8.95	0.414	0.67	2.22	0.304	1.8	2.48	0.725	0.39	1.67	2.07	2.25	0.83	0.21	1.63	1.52	9.89	8	2	91	191
547	404	26.4	3.22	8.19	0.393	0.73	2.42	0.299	1.35	1.88	0.716	0.63	2.3	2.93	6.09	1.42	0.28	2.39	2.51	8.5	1	1	85	191
548	146	21.4	3.23	7.18	0.451	0.19	0.8	0.235	1.23	1.7	0.721	0.95	1.88	2.83	1.76	0.93	0.25	1.61	1.18	7.88	1	3	91	198
764	345	20.6	1.93	3.88	0.497	0.01	0.07	0.13	1.04	1.7	0.615	2.75	4.12	6.87	0.92	0.66	0.4	2.51	0.8	4.9	1	5	107	211
465	127	19.4	2.52	6.29	0.401	0.65	1.91	0.338	1.51	1.95	0.776	0.72	2.05	2.77	1.46	0.57	0.12	1.61	1.09	7.21	8	3	100	196
3	0	3.4	0.33	1.33	0.25	0.0	0.0	0.0	0.33	0.67	0.5	0.0	0.33	0.33	0.0	0.0	0.0	0.33	0.0	1.0	1	5	113	211
582	208	25.2	3.03	5.92	0.513	0.0	0.07	0.024	1.58	2.51	0.631	2.53	5.04	7.57	1.2	0.9	0.68	2.69	0.98	7.65	1	5	121	211
82	0	7.8	0.4	0.79	0.508	0.0	0.01	0.0	0.5	1.01	0.494	1.05	1.28	2.33	0.15	0.13	0.35	1.37	0.32	1.3	6	5	112	211
395	49	15.7	1.71	3.27	0.524	0.0	0.02	0.0	1.17	1.97	0.594	1.38	2.64	4.02	0.37	0.48	0.69	2.49	0.85	4.59	8	5	113	211
891	349	26.5	4.61	10.24	0.45	1.46	3.98	0.368	3.53	4.26	0.827	0.7	3.03	3.74	4.0	1.38	0.31	2.14	2.09	14.21	1	2	93	198
1107	481	24.5	2.55	6.0	0.425	0.72	2.1	0.341	1.16	1.59	0.726	1.49	3.27	4.76	2.12	1.05	0.93	2.42	1.24	6.97	1	4	100	206
1229	951	33.0	6.97	15.88	0.439	1.54	4.12	0.373	3.75	4.69	0.799	1.24	3.48	4.72	3.52	1.08	0.62	2.79	1.95	19.23	1	3	100	198
1035	794	30.7	4.75	10.22	0.464	0.91	2.4	0.379	3.32	4.32	0.769	0.85	3.42	4.26	2.21	0.72	0.32	2.32	1.63	13.73	1	3	104	201
419	373	25.2	4.11	8.34	0.494	0.0	0.03	0.143	1.81	2.48	0.73	1.84	3.55	5.4	0.83	0.39	0.68	2.99	1.19	10.05	7	5	116	208
840	337	23.7	3.17	7.75	0.409	1.1	3.29	0.334	1.74	2.0	0.871	0.78	1.92	2.7	4.04	1.35	0.12	1.66	1.85	9.18	1	1	77	183
601	93	14.0	0.84	1.96	0.427	0.0	0.01	0.167	0.3	0.63	0.467	1.39	2.3	3.69	0.45	0.38	1.05	2.03	0.59	1.97	1	5	127	213
830	494	26.1	3.53	8.2	0.431	0.7	2.02	0.349	1.55	1.8	0.862	0.44	1.82	2.26	4.47	0.98	0.19	2.14	1.62	9.33	1	1	79	188
473	139	15.4	2.06	4.47	0.462	0.0	0.03	0.154	0.52	0.77	0.678	1.13	2.75	3.88	0.48	0.41	0.49	2.45	0.79	4.66	8	5	112	213
878	228	22.2	2.41	5.85	0.411	0.57	1.77	0.324	0.99	1.4	0.703	0.53	1.73	2.26	4.41	0.99	0.2	2.0	1.76	6.37	1	1	90	185
97	34	15.4	1.77	3.51	0.506	0.0	0.0	0.0	0.74	1.22	0.61	1.26	2.62	3.88	0.21	0.27	0.89	2.31	0.73	4.29	5	5	111	213
1208	900	30.3	5.42	11.55	0.469	0.0	0.04	0.12	2.54	3.32	0.764	1.94	4.21	6.15	2.2	0.68	0.26	2.89	2.04	13.38	1	4	109	206
987	771	24.3	2.82	5.67	0.498	0.0	0.02	0.125	1.76	2.82	0.626	2.76	4.34	7.1	0.83	0.33	1.42	2.91	1.45	7.41	1	5	120	211
1391	1350	36.0	4.47	11.18	0.4	1.43	4.1	0.349	2.23	2.84	0.785	1.27	5.0	6.27	8.69	1.93	0.32	1.85	2.87	12.6	1	1	95	193
970	564	31.2	5.55	13.59	0.409	1.02	3.3	0.309	4.79	5.83	0.822	0.95	2.21	3.16	3.34	0.9	0.45	1.87	2.72	16.92	1	3	99	198
680	313	21.5	2.59	5.4	0.48	0.0	0.01	0.0	2.05	3.2	0.639	2.08	4.4	6.48	0.57	0.33	0.89	2.63	1.47	7.23	1	5	117	211
1294	1263	35.4	7.79	16.38	0.476	1.25	3.27	0.383	5.29	6.02	0.879	1.07	6.85	7.92	2.58	0.84	0.89	2.44	1.79	22.12	1	4	111	213
45	1	5.4	0.73	2.2	0.333	0.33	0.87	0.385	0.11	0.18	0.625	0.07	0.49	0.56	0.11	0.09	0.0	0.47	0.22	1.91	3	3	84	201
391	70	26.7	3.43	6.58	0.522	0.25	0.77	0.329	1.95	2.51	0.779	1.87	2.86	4.73	1.56	0.87	0.47	1.85	1.12	9.07	8	3	95	203
845	347	21.3	2.47	5.36	0.461	0.0	0.03	0.0	2.16	2.89	0.746	2.24	3.58	5.82	1.21	0.71	0.36	2.6	1.38	7.11	1	5	125	211
865	766	33.0	5.81	12.78	0.454	0.49	1.72	0.286	2.72	4.3	0.633	1.96	5.64	7.6	3.17	1.23	1.97	2.77	2.49	14.83	1	4	102	206
119	25	15.7	2.72	5.95	0.458	0.03	0.11	0.231	1.43	1.92	0.746	1.3	2.74	4.04	0.97	0.45	0.39	1.98	1.13	6.9	5	4	121	206
1000	354	15.9	2.4	4.93	0.486	0.0	0.01	0.0	1.02	1.6	0.639	1.81	2.9	4.7	0.38	0.43	0.64	2.15	0.92	5.82	1	5	113	208
143	58	16.4	1.76	3.97	0.443	0.1	0.34	0.292	0.89	1.35	0.658	1.17	2.27	3.44	0.99	0.6	0.34	2.47	0.97	4.5	4	4	100	201
186	9	10.9	0.96	2.67	0.361	0.34	1.06	0.32	0.81	0.95	0.847	0.15	0.96	1.11	1.17	0.56	0.08	1.12	0.75	3.07	8	1	86	183
413	64	19.8	2.04	4.99	0.409	1.02	2.87	0.354	0.96	1.23	0.778	0.89	2.67	3.56	0.89	0.38	0.32	1.69	0.62	6.05	8	4	109	203
18	0	8.1	1.17	2.67	0.438	0.22	0.67	0.333	0.39	0.72	0.538	0.22	0.89	1.11	0.83	0.28	0.0	0.89	0.78	2.94	1	1	89	188
12	0	11.3	1.58	5.0	0.317	0.42	1.92	0.217	0.67	1.0	0.667	0.33	1.0	1.33	0.67	0.25	0.17	0.67	0.5	4.25	1	2	83	188
587	159	21.7	2.43	4.84	0.502	0.0	0.04	0.038	1.73	2.68	0.645	2.47	3.91	6.38	0.81	1.05	0.22	2.09	1.0	6.58	9	4	93	206
579	165	17.4	2.12	5.37	0.395	0.95	2.64	0.361	1.26	1.45	0.875	0.17	1.24	1.41	2.79	0.61	0.06	1.7	1.07	6.46	1	1	76	183
1424	892	26.9	4.98	10.23	0.487	0.03	0.13	0.211	2.12	2.98	0.713	2.9	5.46	8.36	0.93	0.67	0.52	2.93	1.77	12.12	2	5	111	213
1380	839	30.8	5.35	12.23	0.438	0.91	2.55	0.356	2.58	3.74	0.689	1.34	3.23	4.57	2.24	1.02	1.01	3.03	1.81	14.19	1	4	102	208
151	9	12.1	1.38	3.01	0.459	0.0	0.01	0.0	0.39	0.54	0.728	1.26	2.17	3.43	0.43	0.21	0.37	1.69	0.49	3.16	3	4	116	211
69	2	12.3	1.99	3.68	0.539	0.0	0.0	0.0	1.0	1.29	0.775	1.06	1.91	2.97	0.43	0.29	0.45	2.07	1.06	4.97	3	5	113	208
49	1	9.3	1.37	2.39	0.573	0.0	0.02	0.0	0.63	1.82	0.348	1.45	1.9	3.35	0.04	0.2	0.43	1.39	0.39	3.37	2	5	118	208
418	319	25.6	4.59	8.24	0.556	0.0	0.02	0.111	2.36	3.42	0.69	2.41	5.3	7.71	1.17	0.32	1.57	2.46	1.54	11.54	9	5	129	213
237	8	12.3	1.91	4.98	0.384	0.69	2.0	0.345	0.32	0.42	0.768	0.24	0.76	1.0	1.52	0.36	0.01	0.82	0.54	4.83	8	1	75	180
23	1	4.2	0.48	1.09	0.44	0.0	0.0	0.0	0.26	0.52	0.5	0.3	0.35	0.65	0.78	0.26	0.0	0.57	0.48	1.22	2	3	95	201
600	361	23.6	3.75	8.19	0.458	0.52	1.48	0.353	0.99	1.42	0.703	1.53	4.4	5.93	1.89	0.4	1.0	2.63	1.49	9.02	8	5	111	216
249	10	24.0	2.97	7.44	0.399	1.66	4.61	0.36	1.45	1.73	0.84	0.51	1.93	2.44	2.22	1.0	0.16	1.48	1.15	9.05	4	2	84	198
835	834	35.5	6.41	11.06	0.58	0.01	0.06	0.102	5.14	9.0	0.571	3.54	9.17	12.71	1.51	0.99	2.1	3.31	3.07	17.97	1	5	120	211
139	75	11.4	1.12	2.77	0.405	0.01	0.03	0.25	0.55	0.81	0.679	0.89	1.95	2.84	0.29	0.37	0.12	2.16	0.8	2.8	3	5	127	211
864	758	35.8	4.9	10.62	0.462	0.95	2.84	0.335	2.99	4.18	0.716	1.01	4.43	5.44	4.65	1.67	0.48	1.92	2.18	13.74	1	3	94	198
72	3	10.0	1.17	3.26	0.357	0.44	1.24	0.36	0.72	0.99	0.732	0.38	0.86	1.24	0.81	0.33	0.04	0.99	0.68	3.5	4	3	98	201
516	311	21.6	2.78	4.67	0.594	0.0	0.0	0.0	0.74	1.48	0.5	2.31	4.73	7.04	0.91	0.64	1.12	3.15	0.93	6.29	1	5	113	213
564	193	21.5	2.73	7.01	0.39	0.64	2.01	0.319	1.31	1.68	0.777	0.27	1.33	1.59	3.48	0.73	0.13	2.12	1.52	7.42	1	1	77	183
714	196	18.4	2.69	5.76	0.468	0.03	0.12	0.282	1.44	2.08	0.694	1.81	3.78	5.59	0.71	0.42	0.59	1.86	0.9	6.87	1	4	107	206
786	242	26.6	4.74	11.21	0.423	1.94	5.21	0.371	1.74	2.37	0.735	0.54	2.71	3.25	2.25	1.01	0.22	2.29	1.47	13.15	1	2	102	198
6	0	4.7	0.0	0.33	0.0	0.0	0.0	0.0	0.67	1.33	0.5	0.0	1.5	1.5	0.0	0.0	0.17	0.67	0.67	0.67	2	5	118	226
690	341	21.5	3.07	6.46	0.476	0.14	0.51	0.269	1.72	2.4	0.719	1.11	2.14	3.26	1.34	1.4	0.43	2.34	1.37	8.01	1	2	97	193
685	503	30.8	5.53	12.62	0.438	1.64	4.24	0.385	5.11	5.87	0.87	0.57	2.68	3.25	1.94	0.92	0.11	1.93	1.71	17.8	1	2	90	201
745	444	28.1	3.68	8.61	0.427	1.11	3.21	0.346	1.65	2.33	0.71	1.11	3.66	4.77	2.08	1.45	0.33	2.04	1.46	10.12	1	3	98	203
46	4	6.9	0.61	1.17	0.519	0.0	0.0	0.0	0.3	0.61	0.5	0.43	1.02	1.46	0.07	0.09	0.28	1.35	0.57	1.52	2	5	138	221
31	0	8.8	0.74	2.32	0.319	0.16	0.94	0.172	1.1	1.35	0.81	0.16	0.55	0.71	0.9	0.23	0.03	1.06	0.94	2.74	1	2	95	193
6	0	3.3	0.83	1.67	0.5	0.0	0.0	0.0	0.17	0.33	0.5	0.17	0.5	0.67	0.0	0.0	0.17	0.67	0.5	1.83	2	5	125	221
83	23	13.4	1.16	2.75	0.421	0.0	0.01	0.0	0.8	1.07	0.742	1.19	2.16	3.35	0.77	0.17	0.55	2.41	0.84	3.11	3	5	109	213
35	0	4.1	0.57	1.69	0.339	0.11	0.23	0.5	0.23	0.26	0.889	0.29	0.46	0.74	0.2	0.17	0.06	0.6	0.11	1.49	1	5	118	211
233	73	15.5	2.42	5.0	0.485	0.0	0.01	0.0	1.67	2.42	0.689	1.72	2.77	4.48	0.62	0.31	0.46	2.44	1.19	6.51	4	4	125	203
507	170	22.8	2.9	7.24	0.401	1.34	3.66	0.365	0.97	1.28	0.758	0.57	3.01	3.58	1.75	0.91	0.17	1.63	1.0	8.12	9	2	104	198
429	306	27.7	4.26	9.84	0.433	0.3	1.02	0.289	2.36	2.9	0.815	0.69	2.41	3.1	5.82	1.16	0.13	2.27	2.44	11.18	9	1	75	183
759	601	28.8	4.69	8.63	0.544	0.01	0.05	0.108	2.97	4.43	0.669	1.92	4.73	6.65	1.99	1.18	0.83	3.22	1.98	12.35	1	5	113	211
